cat,pot(V vs. RHE),pot(V vs. SHE),pot(V vs. Ag/AgCl),pot(V vs. Fc/Fc),jtotal(mA cm^-2),jpartial(mA cm^2),FE,elect,conc,prod,pH,Author,Title,Subject
 crystallographic Cu NP,,,-1.6,,,, 19.915074309978756, KHCO3, 0.1M, HCOOH,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 crystallographic Cu NP,,,-1.5,,,, 22.887473460721846, KHCO3, 0.1M, HCOOH,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 crystallographic Cu NP,,,-1.4,,,, 25.859872611464965, KHCO3, 0.1M, HCOOH,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 crystallographic Cu NP,,,-1.3,,,, 25.859872611464965, KHCO3, 0.1M, HCOOH,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 nanoporous Cu,-0.500122699386503,,,,, 17.834394904458634,, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.5550920245398773,,,,, 68.78980891719749,, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.5847239263803681,,,,, 153.71549893842894,, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.6199386503067485,,,,, 236.09341825902342,, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.6448466257668712,,,,, 332.05944798301493,, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.6749079754601228,,,,, 402.547770700637,, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,,,,,,,, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.4998529411764707,,,,,, 20.18691588785046, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.554779411764706,,,,,, 38.3177570093458, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.5852205882352943,,,,,, 50.280373831775705, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.6202941176470591,,,,,, 54.95327102803738, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.644779411764706,,,,,, 62.61682242990654, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.674558823529412,,,,,, 61.86915887850466, KOH, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.5208088235294119,,,,,, -0.12461059190032131, KHCO3, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.6217279411764707,,,,,, 1.1214953271027923, KHCO3, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.7369852941176472,,,,,, 9.688473520249218, KHCO3, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.7739338235294119,,,,,, 26.97819314641744, KHCO3, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.8004044117647061,,,,,, 38.03738317757007, KHCO3, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.5152941176470589,,,,,, -0.12461059190032131, KCl, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.5731985294117647,,,,,, 0.3426791277258445, KCl, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.6079411764705883,,,,,, 10.155763239875383, KCl, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.6481985294117647,,,,,, 21.993769470404984, KCl, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.6708088235294118,,,,,, 33.831775700934564, KCl, 1M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.4959926470588236,,,,,, -0.2803738317757052, K2SO4, 0.5M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.5180514705882354,,,,,, -0.2803738317757052, K2SO4, 0.5M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.6200735294117649,,,,,, 5.171339563862929, K2SO4, 0.5M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 nanoporous Cu,-0.6873529411764706,,,,,, 13.738317757009326, K2SO4, 0.5M, C2,,Jing-Jing Lv,A Highly Porous Copper Electrocatalyst for Carbon Dioxide Reduction,Advanced Materials 2018.30:1803111
 cubic Cu2O,-0.9009009009009009,,,,,, 3.050847457627114, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 cubic Cu2O,-1.000900900900901,,,,,, 17.11864406779661, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 cubic Cu2O,-1.1,,,,,, 37.96610169491525, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 cubic Cu2O,-1.2009009009009008,,,,,, 39.99999999999999, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 cubic Cu2O,-1.300900900900901,,,,,, 18.305084745762705, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 octahedral Cu2O,-0.9009009009009009,,,,,, 4.067796610169481, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 octahedral Cu2O,-1,,,,,, 23.559322033898297, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 octahedral Cu2O,-1.1,,,,,, 45.08474576271185, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 octahedral Cu2O,-1.2,,,,,, 38.983050847457626, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 octahedral Cu2O,-1.300900900900901,,,,,, 34.57627118644067, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 truncated-octahedral Cu2O,-0.9009009009009009,,,,,, 6.101694915254242, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 truncated-octahedral Cu2O,-1,,,,,, 34.91525423728813, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 truncated-octahedral Cu2O,-1.1009009009009007,,,,,, 59.15254237288134, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 truncated-octahedral Cu2O,-1.2,,,,,, 54.915254237288124, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 truncated-octahedral Cu2O,-1.300900900900901,,,,,, 48.3050847457627, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 cubic Cu2O,-0.9006801719429074,,,,,, 0.22784810126582045, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 cubic Cu2O,-1.000431757190016,,,,,, 2.6582278481012622, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 cubic Cu2O,-1.1000446481582633,,,,,, 10.63291139240506, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 cubic Cu2O,-1.2004213076210608,,,,,, 18.0759493670886, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 cubic Cu2O,-1.3004559811907763,,,,,, 9.189873417721518, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 octahedral Cu2O,-0.9006782720212791,,,,,, 0.3037974683544249, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 octahedral Cu2O,-1.0003519604816302,,,,,, 5.848101265822784, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 octahedral Cu2O,-1.099900254114518,,,,,, 16.40506329113924, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 octahedral Cu2O,-1.1996214406155747,,,,,, 20.0506329113924, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 octahedral Cu2O,-1.300159593416772,,,,,, 21.037974683544302, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 truncated-octahedral Cu2O,-0.9006668724915097,,,,,, 0.7594936708860729, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 truncated-octahedral Cu2O,-1.0002588643218466,,,,,, 9.569620253164554, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 truncated-octahedral Cu2O,-1.0996893628137842,,,,,, 24.835443037974684, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 truncated-octahedral Cu2O,-1.2001648182012492,,,,,, 28.32911392405063, KHCO3, 0.5M, C2H4,,Yugang Gao,Cu2O Nanoparticles with Both {100} and {111} Facets for Enhancing the Selectivity and Activity of CO2 Electroreduction to Ethylene,Advanced Science 2020.7:1902820
 CuZn,-0.9,,,,,, 5.071574642126789, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 CuZn,-0.95,,,,,, 9.16155419222904, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 CuZn,-1,,,,,, 8.50715746421268, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 CuZn,-1.05,,,,,, 14.478527607361964, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 CuZn,-1.1,,,,,, 22.985685071574643, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 CuZn,-1.15,,,,,, 31.492842535787318, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 CuZn,-1.2,,,,,, 22.494887525562372, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-0.9,,,,,, 10.143149284253578, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-0.95,,,,,, 12.760736196319015, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1,,,,,, 13.496932515337425, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.05,,,,,, 17.75051124744376, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.1,,,,,, 14.560327198364007, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.15,,,,,, 9.079754601226996, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.2,,,,,, 3.3537832310838404, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-0.9000000000000001,,,,,, -0.0041095890410958735, KOH, 1M, CO,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-0.9494780793319416,,,,,, -0.008219178082191747, KOH, 1M, CO,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.0002087682672233,,,,,, -0.0041095890410958735, KOH, 1M, CO,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.049686847599165,,,,,, -0.003424657534246589, KOH, 1M, CO,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.0991649269311065,,,,,, -0.002739726027397249, KOH, 1M, CO,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.1492693110647183,,,,,, -0.013698630136986356, KOH, 1M, CO,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.1993736951983298,,,,,, -0.0027397260273973045, KOH, 1M, CO,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-0.9000000000000001,,,,,, -0.00068493150684934, KOH, 1M, CH4,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-0.9501043841336118,,,,,, -0.00068493150684934, KOH, 1M, CH4,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.0002087682672233,,,,,, -0.0027397260273971935, KOH, 1M, CH4,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.0503131524008351,,,,,, -0.0075342465753424625, KOH, 1M, CH4,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.1004175365344468,,,,,, -0.021232876712328874, KOH, 1M, CH4,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.1505219206680585,,,,,, -0.07260273972602749, KOH, 1M, CH4,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.2,,,,,, -0.16849315068493165, KOH, 1M, CH4,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-0.9000000000000001,,,,,, -0.021917808219177992, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-0.9494780793319416,,,,,, -0.06438356164383574, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-0.9995824634655532,,,,,, -0.08287671232876714, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.049686847599165,,,,,, -0.13767123287671246, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.0997912317327767,,,,,, -0.15273972602739727, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.149269311064718,,,,,, -0.09726027397260273, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 Cu,-1.1993736951983298,,,,,, -0.050684931506849384, KOH, 1M, C2H5OH,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
 CuZn,-0.8993736951983299,,,,,, -0.06575342465753409, KOH, 1M, CO,,Dan Ren,Atomic Layer Deposition of ZnO on CuO Enables Selective and Efficient Electroreduction of Carbon Dioxide to Liquid Fuels,Angew. Chem. Int. Ed. 2019.58:15036-15040
